Supervised Model,Unsupervised Model,Heterogeneous Model,Spectrogram Baseline,twa,num_n_h,mhg,num_n_a,ta,alpha,tw,msw,msa
0.975,0.65,0.3,0.3,0.1,5.0,fixed,5.0,0.0,1.0,0.5,phon_count,fixed
1.0,0.65,0.325,0.3,0.1,5.0,fixed,5.0,0.0,1.0,0.5,mixed,fixed
0.9,0.625,0.275,0.3,0.1,5.0,fixed,5.0,0.0,1.0,0.5,semantics,fixed
0.95,0.6,0.2,0.3,0.1,5.0,ML,5.0,0.0,1.0,0.5,phon_count,fixed
0.95,0.525,0.375,0.3,0.1,5.0,ML,5.0,0.0,1.0,0.5,mixed,fixed
0.95,0.6,0.425,0.3,0.1,5.0,ML,5.0,0.0,1.0,0.5,semantics,fixed
0.9,0.65,0.15,0.3,0.1,5.0,mixed,5.0,0.0,1.0,0.5,phon_count,fixed
0.95,0.675,0.075,0.3,0.1,5.0,mixed,5.0,0.0,1.0,0.5,mixed,fixed
0.95,0.525,0.4,0.3,0.1,5.0,mixed,5.0,0.0,1.0,0.5,semantics,fixed
0.925,0.925,0.2,0.3,0.1,20.0,fixed,20.0,0.0,1.0,0.5,phon_count,fixed
0.95,0.875,0.775,0.3,0.1,20.0,fixed,20.0,0.0,1.0,0.5,mixed,fixed
0.925,0.875,0.275,0.3,0.1,20.0,fixed,20.0,0.0,1.0,0.5,semantics,fixed
0.9,0.9,0.65,0.3,0.1,20.0,ML,20.0,0.0,1.0,0.5,phon_count,fixed
0.925,0.875,0.2,0.3,0.1,20.0,ML,20.0,0.0,1.0,0.5,mixed,fixed
0.925,0.875,0.575,0.3,0.1,20.0,ML,20.0,0.0,1.0,0.5,semantics,fixed
0.975,0.925,0.65,0.3,0.1,20.0,mixed,20.0,0.0,1.0,0.5,phon_count,fixed
0.975,0.925,0.425,0.3,0.1,20.0,mixed,20.0,0.0,1.0,0.5,mixed,fixed
0.975,0.85,0.525,0.3,0.1,20.0,mixed,20.0,0.0,1.0,0.5,semantics,fixed
0.975,1.0,0.625,0.3,0.1,35.0,fixed,35.0,0.0,1.0,0.5,phon_count,fixed
0.975,0.95,0.85,0.3,0.1,35.0,fixed,35.0,0.0,1.0,0.5,mixed,fixed
1.0,0.875,0.65,0.3,0.1,35.0,fixed,35.0,0.0,1.0,0.5,semantics,fixed
0.95,0.925,0.65,0.3,0.1,35.0,ML,35.0,0.0,1.0,0.5,phon_count,fixed
1.0,0.975,0.6,0.3,0.1,35.0,ML,35.0,0.0,1.0,0.5,mixed,fixed
1.0,0.925,0.55,0.3,0.1,35.0,ML,35.0,0.0,1.0,0.5,semantics,fixed
0.975,1.0,0.375,0.3,0.1,35.0,mixed,35.0,0.0,1.0,0.5,phon_count,fixed
0.975,0.95,0.825,0.3,0.1,35.0,mixed,35.0,0.0,1.0,0.5,mixed,fixed
0.975,1.0,0.8,0.3,0.1,35.0,mixed,35.0,0.0,1.0,0.5,semantics,fixed
1.0,0.95,0.7,0.3,0.1,50.0,fixed,50.0,0.0,1.0,0.5,phon_count,fixed
1.0,1.0,0.625,0.3,0.1,50.0,fixed,50.0,0.0,1.0,0.5,mixed,fixed
0.975,0.975,0.05,0.3,0.1,50.0,fixed,50.0,0.0,1.0,0.5,semantics,fixed
0.975,0.975,0.8,0.3,0.1,50.0,ML,50.0,0.0,1.0,0.5,phon_count,fixed
1.0,0.95,0.525,0.3,0.1,50.0,ML,50.0,0.0,1.0,0.5,mixed,fixed
1.0,0.9,0.825,0.3,0.1,50.0,ML,50.0,0.0,1.0,0.5,semantics,fixed
0.95,0.95,0.75,0.3,0.1,50.0,mixed,50.0,0.0,1.0,0.5,phon_count,fixed
0.95,0.925,0.275,0.3,0.1,50.0,mixed,50.0,0.0,1.0,0.5,mixed,fixed
1.0,0.95,0.725,0.3,0.1,50.0,mixed,50.0,0.0,1.0,0.5,semantics,fixed
0.95,0.55,0.3,0.3,0.1,5.0,fixed,5.0,0.0,6.0,0.5,phon_count,fixed
0.925,0.375,0.425,0.3,0.1,5.0,fixed,5.0,0.0,6.0,0.5,mixed,fixed
1.0,0.475,0.45,0.3,0.1,5.0,fixed,5.0,0.0,6.0,0.5,semantics,fixed
0.95,0.525,0.05,0.3,0.1,5.0,ML,5.0,0.0,6.0,0.5,phon_count,fixed
