Supervised Model,Unsupervised Model,Heterogeneous Model,Heterogeneous attention Model,Spectrogram Baseline,CNN Model,twa,num_n_h,mhg,num_n_a,ta,alpha,tw,msw,msa,mgw
0.97,0.92,0.97,0.0,0.27,0.51,0.1,50.0,ML,50.0,0.0,2.0,0.5,phon_suit,mixed,full
0.98,0.92,0.95,0.0,0.27,0.53,0.2,50.0,ML,50.0,0.0,2.0,0.5,phon_suit,mixed,full
0.99,0.85,0.94,0.0,0.27,0.56,0.3,50.0,ML,50.0,0.0,2.0,0.5,phon_suit,mixed,full
0.99,0.91,0.95,0.0,0.27,0.52,0.1,50.0,ML,50.0,0.0,2.0,0.5,phon_coo,mixed,full
0.98,0.87,0.92,0.0,0.27,0.51,0.2,50.0,ML,50.0,0.0,2.0,0.5,phon_coo,mixed,full
0.97,0.95,0.95,0.0,0.27,0.56,0.3,50.0,ML,50.0,0.0,2.0,0.5,phon_coo,mixed,full
0.98,0.91,0.93,0.0,0.27,0.55,0.1,50.0,ML,50.0,0.0,2.0,0.5,phon_count,mixed,full
0.98,0.9,0.94,0.0,0.27,0.54,0.2,50.0,ML,50.0,0.0,2.0,0.5,phon_count,mixed,full
0.98,0.84,0.93,0.0,0.27,0.53,0.3,50.0,ML,50.0,0.0,2.0,0.5,phon_count,mixed,full
0.99,0.94,0.96,0.0,0.27,0.57,0.1,50.0,ML,50.0,0.0,2.0,0.5,mixed,mixed,full
0.99,0.95,0.93,0.0,0.27,0.52,0.2,50.0,ML,50.0,0.0,2.0,0.5,mixed,mixed,full
0.99,0.94,0.92,0.0,0.27,0.53,0.3,50.0,ML,50.0,0.0,2.0,0.5,mixed,mixed,full
0.98,0.91,0.94,0.0,0.27,0.51,0.1,50.0,ML,50.0,0.0,2.0,0.5,semantics,mixed,full
0.98,0.88,0.94,0.0,0.27,0.55,0.2,50.0,ML,50.0,0.0,2.0,0.5,semantics,mixed,full
0.99,0.92,0.95,0.0,0.27,0.51,0.3,50.0,ML,50.0,0.0,2.0,0.5,semantics,mixed,full
1.0,0.93,0.97,0.0,0.27,0.5,0.1,70.0,ML,70.0,0.0,2.0,0.5,phon_suit,mixed,full
0.98,0.93,0.94,0.0,0.27,0.54,0.2,70.0,ML,70.0,0.0,2.0,0.5,phon_suit,mixed,full
0.99,0.95,0.97,0.0,0.27,0.56,0.3,70.0,ML,70.0,0.0,2.0,0.5,phon_suit,mixed,full
0.99,0.97,0.97,0.0,0.27,0.54,0.1,70.0,ML,70.0,0.0,2.0,0.5,phon_coo,mixed,full
0.98,0.94,0.96,0.0,0.27,0.54,0.2,70.0,ML,70.0,0.0,2.0,0.5,phon_coo,mixed,full
0.98,0.93,0.95,0.0,0.27,0.6,0.3,70.0,ML,70.0,0.0,2.0,0.5,phon_coo,mixed,full
0.97,0.85,0.97,0.0,0.27,0.51,0.1,70.0,ML,70.0,0.0,2.0,0.5,phon_count,mixed,full
0.99,0.88,0.96,0.0,0.27,0.53,0.2,70.0,ML,70.0,0.0,2.0,0.5,phon_count,mixed,full
0.99,0.94,0.97,0.0,0.27,0.52,0.3,70.0,ML,70.0,0.0,2.0,0.5,phon_count,mixed,full
0.99,0.92,0.95,0.0,0.27,0.53,0.1,70.0,ML,70.0,0.0,2.0,0.5,mixed,mixed,full
