Supervised Model,Unsupervised Model,Heterogeneous Model,Spectrogram Baseline,twa,num_n_h,mhg,num_n_a,ta,alpha,tw,msw,msa,mgw
0.985,0.97,0.495,0.27,0.1,20.0,fixed,20.0,0.0,1.0,0.5,phon_coo,fixed,full
0.995,0.975,0.255,0.27,0.1,20.0,fixed,20.0,0.0,1.0,0.5,phon_suit,fixed,full
0.985,0.985,0.125,0.27,0.1,20.0,fixed,20.0,0.0,1.0,0.5,phon_count,fixed,full
0.975,0.98,0.305,0.27,0.1,20.0,fixed,20.0,0.0,1.0,0.5,mixed,fixed,full
0.99,0.985,0.29,0.27,0.1,20.0,fixed,20.0,0.0,1.0,0.5,semantics,fixed,full
0.985,0.985,0.34,0.27,0.1,20.0,ML,20.0,0.0,1.0,0.5,phon_coo,fixed,full
0.98,0.975,0.51,0.27,0.1,20.0,ML,20.0,0.0,1.0,0.5,phon_suit,fixed,full
0.955,0.99,0.295,0.27,0.1,20.0,ML,20.0,0.0,1.0,0.5,phon_count,fixed,full
1.0,0.97,0.345,0.27,0.1,20.0,ML,20.0,0.0,1.0,0.5,mixed,fixed,full
0.985,0.99,0.465,0.27,0.1,20.0,ML,20.0,0.0,1.0,0.5,semantics,fixed,full
0.975,0.97,0.525,0.27,0.1,20.0,mixed,20.0,0.0,1.0,0.5,phon_coo,fixed,full
0.995,0.98,0.38,0.27,0.1,20.0,mixed,20.0,0.0,1.0,0.5,phon_suit,fixed,full
0.98,0.995,0.575,0.27,0.1,20.0,mixed,20.0,0.0,1.0,0.5,phon_count,fixed,full
0.985,0.995,0.545,0.27,0.1,20.0,mixed,20.0,0.0,1.0,0.5,mixed,fixed,full
0.985,0.985,0.355,0.27,0.1,20.0,mixed,20.0,0.0,1.0,0.5,semantics,fixed,full
0.98,0.985,0.255,0.27,0.1,30.0,fixed,30.0,0.0,1.0,0.5,phon_coo,fixed,full
0.99,1.0,0.63,0.27,0.1,30.0,fixed,30.0,0.0,1.0,0.5,phon_suit,fixed,full
0.99,0.995,0.315,0.27,0.1,30.0,fixed,30.0,0.0,1.0,0.5,phon_count,fixed,full
0.995,0.995,0.645,0.27,0.1,30.0,fixed,30.0,0.0,1.0,0.5,mixed,fixed,full
0.99,0.995,0.375,0.27,0.1,30.0,fixed,30.0,0.0,1.0,0.5,semantics,fixed,full
1.0,0.995,0.53,0.27,0.1,30.0,ML,30.0,0.0,1.0,0.5,phon_coo,fixed,full
0.975,1.0,0.56,0.27,0.1,30.0,ML,30.0,0.0,1.0,0.5,phon_suit,fixed,full
0.99,0.995,0.425,0.27,0.1,30.0,ML,30.0,0.0,1.0,0.5,phon_count,fixed,full
0.99,0.995,0.24,0.27,0.1,30.0,ML,30.0,0.0,1.0,0.5,mixed,fixed,full
0.995,0.995,0.485,0.27,0.1,30.0,ML,30.0,0.0,1.0,0.5,semantics,fixed,full
0.995,0.995,0.34,0.27,0.1,30.0,mixed,30.0,0.0,1.0,0.5,phon_coo,fixed,full
1.0,0.995,0.305,0.27,0.1,30.0,mixed,30.0,0.0,1.0,0.5,phon_suit,fixed,full
0.995,0.995,0.3,0.27,0.1,30.0,mixed,30.0,0.0,1.0,0.5,phon_count,fixed,full
0.995,1.0,0.4,0.27,0.1,30.0,mixed,30.0,0.0,1.0,0.5,mixed,fixed,full
0.995,0.985,0.64,0.27,0.1,30.0,mixed,30.0,0.0,1.0,0.5,semantics,fixed,full
0.995,0.99,0.275,0.27,0.1,40.0,fixed,40.0,0.0,1.0,0.5,phon_coo,fixed,full
0.97,0.99,0.235,0.27,0.1,40.0,fixed,40.0,0.0,1.0,0.5,phon_suit,fixed,full
0.99,1.0,0.44,0.27,0.1,40.0,fixed,40.0,0.0,1.0,0.5,phon_count,fixed,full
1.0,1.0,0.675,0.27,0.1,40.0,fixed,40.0,0.0,1.0,0.5,mixed,fixed,full
0.985,0.98,0.255,0.27,0.1,40.0,fixed,40.0,0.0,1.0,0.5,semantics,fixed,full
1.0,1.0,0.63,0.27,0.1,40.0,ML,40.0,0.0,1.0,0.5,phon_coo,fixed,full
0.985,1.0,0.44,0.27,0.1,40.0,ML,40.0,0.0,1.0,0.5,phon_suit,fixed,full
0.99,1.0,0.64,0.27,0.1,40.0,ML,40.0,0.0,1.0,0.5,phon_count,fixed,full
1.0,0.995,0.41,0.27,0.1,40.0,ML,40.0,0.0,1.0,0.5,mixed,fixed,full
1.0,1.0,0.235,0.27,0.1,40.0,ML,40.0,0.0,1.0,0.5,semantics,fixed,full
0.985,0.99,0.55,0.27,0.1,40.0,mixed,40.0,0.0,1.0,0.5,phon_coo,fixed,full
0.985,0.995,0.425,0.27,0.1,40.0,mixed,40.0,0.0,1.0,0.5,phon_suit,fixed,full
0.985,0.995,0.64,0.27,0.1,40.0,mixed,40.0,0.0,1.0,0.5,phon_count,fixed,full
0.99,0.99,0.27,0.27,0.1,40.0,mixed,40.0,0.0,1.0,0.5,mixed,fixed,full
