Supervised Model,Unsupervised Model,Heterogeneous Model,Heterogeneous attention Model,Spectrogram Baseline,CNN Model,twa,num_n_h,mhg,num_n_a,ta,alpha,tw,msw,msa,mgw
0.98,0.6725,0.8725,0.0,0.34,0.705,0.1,50.0,ML,50.0,0.0,2.0,0.5,phon_count,mixed,full
0.965,0.7375,0.9225,0.0,0.34,0.7175,0.2,50.0,ML,50.0,0.0,2.0,0.5,phon_count,mixed,full
0.9575,0.7925,0.875,0.0,0.34,0.7025,0.3,50.0,ML,50.0,0.0,2.0,0.5,phon_count,mixed,full
0.9875,0.715,0.89,0.0,0.34,0.69,0.1,50.0,ML,50.0,0.0,2.0,0.5,phon_suit,mixed,full
0.975,0.73,0.8625,0.0,0.34,0.7025,0.2,50.0,ML,50.0,0.0,2.0,0.5,phon_suit,mixed,full
0.975,0.7275,0.8975,0.0,0.34,0.74,0.3,50.0,ML,50.0,0.0,2.0,0.5,phon_suit,mixed,full
0.985,0.8325,0.8525,0.0,0.34,0.715,0.1,50.0,ML,50.0,0.0,2.0,0.5,phon_coo,mixed,full
0.98,0.675,0.8725,0.0,0.34,0.705,0.2,50.0,ML,50.0,0.0,2.0,0.5,phon_coo,mixed,full
0.9875,0.6975,0.8875,0.0,0.34,0.7225,0.3,50.0,ML,50.0,0.0,2.0,0.5,phon_coo,mixed,full
0.9925,0.735,0.9,0.0,0.34,0.69,0.1,50.0,ML,50.0,0.0,2.0,0.5,mixed,mixed,full
0.98,0.72,0.8825,0.0,0.34,0.735,0.2,50.0,ML,50.0,0.0,2.0,0.5,mixed,mixed,full
0.9725,0.7325,0.8425,0.0,0.34,0.7125,0.3,50.0,ML,50.0,0.0,2.0,0.5,mixed,mixed,full
0.985,0.6775,0.89,0.0,0.34,0.7275,0.1,50.0,ML,50.0,0.0,2.0,0.5,semantics,mixed,full
0.9725,0.6725,0.905,0.0,0.34,0.695,0.2,50.0,ML,50.0,0.0,2.0,0.5,semantics,mixed,full
0.9825,0.7875,0.865,0.0,0.34,0.7175,0.3,50.0,ML,50.0,0.0,2.0,0.5,semantics,mixed,full
