Supervised Model,Unsupervised Model,Hibrid Model,Heterogeneous Model,Heterogeneous regressor Model,Link prediction,link prediction topk,Heterogeneous sage Model,Heterogeneous attention Model,Spectrogram Baseline,CNN Model,DNN Model,twa,num_n_h,mhg,num_n_a,ta,alpha,tw,msw,msa,mgw,mma,k_out,lambda,density
0.925,0.8375,0.075,0.575,0.7875,0.1725,0.395,0.0,0.0,0.0,1.0,1.0,0.1,61.0,full_weighted,61.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,0.1,1.0
0.925,0.8875,0.075,0.475,0.85,0.125,0.3675,0.0,0.0,0.0,1.0,1.0,0.1,61.0,fixed,61.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,0.1,1.0
0.9625,0.8125,0.075,0.8625,0.8375,0.1325,0.375,0.0,0.0,0.0,1.0,1.0,0.1,61.0,full_weighted,61.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,0.2,1.0
0.9625,0.8375,0.075,0.95,0.8625,0.1175,0.3675,0.0,0.0,0.0,1.0,1.0,0.1,61.0,fixed,61.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,0.2,1.0
0.9125,0.825,0.075,0.95,0.8375,0.1275,0.405,0.0,0.0,0.0,1.0,1.0,0.1,61.0,full_weighted,61.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,0.3,1.0
0.9125,0.8125,0.075,0.8875,0.8875,0.125,0.3625,0.0,0.0,0.0,1.0,1.0,0.1,61.0,fixed,61.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,0.3,1.0
0.9625,0.825,0.075,0.825,0.825,0.1075,0.4,0.0,0.0,0.0,1.0,1.0,0.1,61.0,full_weighted,61.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,0.4,1.0
0.9625,0.8875,0.075,0.925,0.85,0.1325,0.415,0.0,0.0,0.0,1.0,1.0,0.1,61.0,fixed,61.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,0.4,1.0
0.95,0.775,0.1125,0.8625,0.8,0.125,0.2825,0.0,0.0,0.0,1.0,1.0,0.1,61.0,full_weighted,61.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,0.5,1.0
0.95,0.775,0.1125,0.8875,0.875,0.135,0.395,0.0,0.0,0.0,1.0,1.0,0.1,61.0,fixed,61.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,0.5,1.0
0.9875,0.875,0.075,0.8375,0.8125,0.0925,0.3625,0.0,0.0,0.0,1.0,1.0,0.1,61.0,full_weighted,61.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,0.6,1.0
