Supervised Model,Unsupervised Model,Hibrid Model,Heterogeneous Model,Heterogeneous regressor Model,Link prediction,link prediction topk,Heterogeneous sage Model,Heterogeneous attention Model,Spectrogram Baseline,CNN Model,DNN Model,twa,num_n_h,mhg,num_n_a,ta,alpha,tw,msw,msa,mgw,mma,k_out,lambda,density
0.1875,0.2425,0.0575,0.9675,1.0,0.015,0.065,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,phon_count,filter,full,clique,1,1.0,1.0
0.6125,0.9625,0.0475,0.4075,0.075,0.0475,0.1375,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,vggish
0.515,0.975,0.0475,0.385,0.045,0.0475,0.1375,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,vggish
0.57,0.9925,0.0475,0.41,0.28,0.045,0.1325,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,allmini,filter,full,clique,1,1.0,1.0,vggish
0.575,1.0,0.045,0.6875,0.9925,0.055,0.12,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.0,1.0,vggish
0.5575,1.0,0.0475,0.5,0.9475,0.0375,0.115,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.0,1.0,vggish
0.57,0.985,0.0475,0.5,0.99,0.06,0.15,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,phon_count,filter,full,clique,1,1.0,1.0,vggish
0.5975,0.995,0.0475,0.665,0.995,0.0275,0.115,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,glove,filter,full,clique,1,1.0,1.0,vggish
0.5825,0.975,0.0475,0.3075,0.915,0.0475,0.0775,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,glove,filter,full,clique,1,1.0,1.0,vggish
0.585,0.97,0.0475,0.465,0.0775,0.0475,0.1375,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,yamnet
0.605,0.975,0.0475,0.3075,0.0475,0.0475,0.1375,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,yamnet
0.625,0.9925,0.0475,0.3325,0.2775,0.0475,0.1375,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,allmini,filter,full,clique,1,1.0,1.0,yamnet
0.605,0.9975,0.0475,0.465,0.08,0.0475,0.1375,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,allmini,filter,full,clique,1,1.0,1.0,yamnet
0,0,0,0.105,1.0,0.0275,0.0775,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,yamnet
0,0,0,0.085,1.0,0.0325,0.105,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,yamnet
0,0,0,0.0975,1.0,0.0025,0.0625,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,allmini,filter,full,clique,1,1.0,1.0,yamnet
0,0,0,0.1125,1.0,0.6415929203539823,0.8849557522123894,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,yamnet
0,0,0,0.09,1.0,0.7743362831858407,0.9292035398230089,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,allmini,filter,full,clique,1,1.0,1.0,yamnet
0,0,0,0.18,1.0,0.47345132743362833,0.8185840707964602,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,glove,filter,full,clique,1,1.0,1.0,yamnet
0,0,0,0.315,0.9975,0.9823008849557522,1.0,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.0,1.0,yamnet
0,0,0,0.0975,0.9775,0.0752212389380531,0.17699115044247787,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,yamnet
0,0,0,0.11,0.9625,0.0752212389380531,0.17699115044247787,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,yamnet
0,0,0,0.075,0.97,0.05309734513274336,0.15486725663716813,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,allmini,filter,full,clique,1,1.0,1.0,yamnet
0,0,0,0.0825,0.9725,0.0752212389380531,0.17699115044247787,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,yamnet
