Supervised Model,Unsupervised Model,Hibrid Model,Heterogeneous Model,Heterogeneous regressor Model,Heterogeneous sage Model,Heterogeneous attention Model,Spectrogram Baseline,CNN Model,DNN Model,twa,num_n_h,mhg,num_n_a,ta,alpha,tw,msw,msa,mgw,mma,k_out,lambda,density
0.825,0.5625,0.0625,0.9125,0.6,0.0,0.0,0.0,1.0,0.9875,0.1,24.0,dnn,24.0,0.5,1.0,0.5,phon_count,knn,full,fixed,24,0.5,0.5
0.825,0.5,0.0625,0.8125,0.6,0.0,0.0,0.0,1.0,0.9875,0.1,24.0,fixed,24.0,0.5,1.0,0.5,phon_count,knn,full,fixed,24,0.5,0.5
0.875,0.4875,0.175,0.9,0.675,0.0,0.0,0.0,1.0,0.9875,0.1,24.0,dnn,24.0,0.5,1.0,0.5,phon_count,knn,full,fixed,24,0.6,0.5
0.875,0.4875,0.175,0.5125,0.6125,0.0,0.0,0.0,1.0,0.9875,0.1,24.0,fixed,24.0,0.5,1.0,0.5,phon_count,knn,full,fixed,24,0.6,0.5
0.85,0.5875,0.0625,0.7125,0.625,0.0,0.0,0.0,1.0,0.9875,0.1,24.0,dnn,24.0,0.5,1.0,0.5,phon_count,knn,full,fixed,24,0.7,0.5
0.8375,0.5625,0.0625,0.9125,0.6125,0.0,0.0,0.0,1.0,0.9875,0.1,24.0,dnn,24.0,0.5,1.0,0.5,phon_count,knn,full,fixed,24,0.5,0.5
0.8375,0.525,0.0625,0.8,0.625,0.0,0.0,0.0,1.0,0.9875,0.1,24.0,fixed,24.0,0.5,1.0,0.5,phon_count,knn,full,fixed,24,0.5,0.5
0.825,0.525,0.0625,0.85,0.6125,0.0,0.0,0.0,1.0,0.9875,0.1,24.0,dnn,24.0,0.5,1.0,0.5,phon_count,knn,full,fixed,24,0.5,0.5
0.825,0.5625,0.0625,0.825,0.625,0.0,0.0,0.0,1.0,0.9875,0.1,24.0,fixed,24.0,0.5,1.0,0.5,phon_count,knn,full,fixed,24,0.5,0.5
0.9,0.5125,0.225,0.875,0.625,0.0,0.0,0.0,1.0,0.9875,0.1,24.0,dnn,24.0,0.5,1.0,0.5,phon_count,knn,full,fixed,24,0.5,0.5
0.85,0.4125,0.0625,0.875,0.5625,0.0,0.0,0.0,1.0,0.9875,0.1,24.0,dnn,24.0,0.5,1.0,0.5,phon_count,knn,full,fixed,24,0.5,0.5
0.9125,0.5125,0.0625,0.675,0.5625,0.0,0.0,0.0,1.0,0.9875,0.1,24.0,dnn,24.0,0.5,1.0,0.5,phon_count,knn,full,fixed,24,0.5,0.5
0.825,0.5375,0.0625,0.875,0.7,0.0,0.0,0.0,1.0,0.9875,0.1,44.0,dnn,44.0,0.5,1.0,0.5,phon_count,knn,full,fixed,44,0.5,0.9
0.825,0.575,0.0625,0.9375,0.725,0.0,0.0,0.0,1.0,0.9875,0.1,44.0,fixed,44.0,0.5,1.0,0.5,phon_count,knn,full,fixed,44,0.5,0.9
0.9,0.5875,0.0625,0.95,0.7875,0.0,0.0,0.0,1.0,0.9875,0.1,44.0,dnn,44.0,0.5,1.0,0.5,phon_count,knn,full,fixed,44,0.6,0.9
0.9,0.7,0.0625,0.9125,0.7125,0.0,0.0,0.0,1.0,0.9875,0.1,44.0,fixed,44.0,0.5,1.0,0.5,phon_count,knn,full,fixed,44,0.6,0.9
