Supervised Model,Unsupervised Model,Hibrid Model,Heterogeneous Model,Heterogeneous sage Model,Heterogeneous attention Model,Spectrogram Baseline,CNN Model,DNN Model,twa,num_n_h,mhg,num_n_a,ta,alpha,tw,msw,msa,mgw,mma
0.85625,0.75,0.84375,0.96875,0.0,0.0,0.0,0.99375,0.925,0.1,9.0,dnn,18.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.85625,0.73125,0.84375,0.9375,0.0,0.0,0.0,0.99375,0.925,0.1,9.0,fixed,18.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9,0.7875,0.9,0.975,0.0,0.0,0.0,0.99375,0.925,0.1,11.0,dnn,22.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9,0.79375,0.9,0.925,0.0,0.0,0.0,0.99375,0.925,0.1,11.0,fixed,22.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.95,0.85,0.89375,0.9625,0.0,0.0,0.0,0.99375,0.925,0.1,13.0,dnn,26.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.95,0.83125,0.89375,0.90625,0.0,0.0,0.0,0.99375,0.925,0.1,13.0,fixed,26.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.925,0.83125,0.9,0.94375,0.0,0.0,0.0,0.99375,0.925,0.1,15.0,dnn,30.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.925,0.85625,0.9,0.94375,0.0,0.0,0.0,0.99375,0.925,0.1,15.0,fixed,30.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.925,0.875,0.925,0.95,0.0,0.0,0.0,0.99375,0.925,0.1,16.0,dnn,33.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.925,0.88125,0.925,0.9625,0.0,0.0,0.0,0.99375,0.925,0.1,16.0,fixed,33.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.93125,0.88125,0.90625,0.95,0.0,0.0,0.0,0.99375,0.925,0.1,18.0,dnn,37.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.93125,0.88125,0.90625,0.98125,0.0,0.0,0.0,0.99375,0.925,0.1,18.0,fixed,37.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.925,0.9125,0.9375,0.95625,0.0,0.0,0.0,0.99375,0.925,0.1,20.0,dnn,41.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.925,0.89375,0.9375,0.95625,0.0,0.0,0.0,0.99375,0.925,0.1,20.0,fixed,41.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.95,0.9125,0.95625,0.9625,0.0,0.0,0.0,0.99375,0.925,0.1,22.0,dnn,45.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.95,0.91875,0.95625,0.975,0.0,0.0,0.0,0.99375,0.925,0.1,22.0,fixed,45.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.95,0.91875,0.95625,0.95625,0.0,0.0,0.0,0.99375,0.925,0.1,24.0,dnn,48.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.95,0.9,0.95625,0.9625,0.0,0.0,0.0,0.99375,0.925,0.1,24.0,fixed,48.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9625,0.9375,0.95,0.975,0.0,0.0,0.0,0.99375,0.925,0.1,26.0,dnn,52.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9625,0.925,0.95,0.96875,0.0,0.0,0.0,0.99375,0.925,0.1,26.0,fixed,52.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9625,0.94375,0.96875,0.975,0.0,0.0,0.0,0.99375,0.925,0.1,28.0,dnn,56.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9625,0.95625,0.96875,0.96875,0.0,0.0,0.0,0.99375,0.925,0.1,28.0,fixed,56.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.96875,0.9625,0.975,0.975,0.0,0.0,0.0,0.99375,0.925,0.1,30.0,dnn,60.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.96875,0.9625,0.975,0.975,0.0,0.0,0.0,0.99375,0.925,0.1,30.0,fixed,60.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.975,0.9625,0.96875,0.975,0.0,0.0,0.0,0.99375,0.925,0.1,31.0,dnn,63.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.975,0.95625,0.96875,0.90625,0.0,0.0,0.0,0.99375,0.925,0.1,31.0,fixed,63.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.96875,0.9625,0.96875,0.975,0.0,0.0,0.0,0.99375,0.925,0.1,33.0,dnn,67.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.96875,0.9625,0.96875,0.96875,0.0,0.0,0.0,0.99375,0.925,0.1,33.0,fixed,67.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.96875,0.9625,0.96875,0.94375,0.0,0.0,0.0,0.99375,0.925,0.1,35.0,dnn,71.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.96875,0.96875,0.96875,0.975,0.0,0.0,0.0,0.99375,0.925,0.1,35.0,fixed,71.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.96875,0.9625,0.975,0.89375,0.0,0.0,0.0,0.99375,0.925,0.1,37.0,dnn,75.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.96875,0.96875,0.975,0.83125,0.0,0.0,0.0,0.99375,0.925,0.1,37.0,fixed,75.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.94375,0.88125,0.9125,0.95625,0.0,0.0,0.0,1.0,0.93125,0.1,18.0,dnn,37.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.94375,0.86875,0.9125,0.95625,0.0,0.0,0.0,1.0,0.93125,0.1,9.0,dnn,37.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.94375,0.8625,0.9125,0.95,0.0,0.0,0.0,1.0,0.93125,0.1,6.0,dnn,37.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.94375,0.85,0.9125,0.94375,0.0,0.0,0.0,1.0,0.93125,0.1,4.0,dnn,37.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.94375,0.89375,0.9125,0.95625,0.0,0.0,0.0,1.0,0.93125,0.1,3.0,dnn,37.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.94375,0.90625,0.9125,0.975,0.0,0.0,0.0,1.0,0.93125,0.1,18.0,fixed,37.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.94375,0.84375,0.9125,0.9625,0.0,0.0,0.0,1.0,0.93125,0.1,9.0,fixed,37.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.94375,0.9125,0.9125,0.9625,0.0,0.0,0.0,1.0,0.93125,0.1,6.0,fixed,37.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.94375,0.8625,0.9125,0.96875,0.0,0.0,0.0,1.0,0.93125,0.1,4.0,fixed,37.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.94375,0.90625,0.9125,0.975,0.0,0.0,0.0,1.0,0.93125,0.1,3.0,fixed,37.0,0.5,1.0,0.5,phon_count,knn,full,fixed
