Supervised Model,Unsupervised Model,Hibrid Model,Heterogeneous Model,Heterogeneous sage Model,Heterogeneous attention Model,Spectrogram Baseline,CNN Model,DNN Model,twa,num_n_h,mhg,num_n_a,ta,alpha,tw,msw,msa,mgw,mma
0.925,0.8125,0.9125,0.9625,0.0,0.0,0.0,1.0,1.0,0.1,30.0,dnn,30.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.925,0.825,0.9125,0.8625,0.0,0.0,0.0,1.0,1.0,0.1,30.0,ML,30.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.925,0.85,0.9125,0.9625,0.0,0.0,0.0,1.0,1.0,0.1,30.0,fixed,30.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.925,0.8375,0.9125,0.9625,0.0,0.0,0.0,1.0,1.0,0.1,30.0,mixed,30.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.925,0.8,0.9375,0.9875,0.0,0.0,0.0,1.0,1.0,0.1,30.0,dnn,30.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.925,0.875,0.9375,0.9375,0.0,0.0,0.0,1.0,1.0,0.1,30.0,ML,30.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.925,0.825,0.9375,0.9875,0.0,0.0,0.0,1.0,1.0,0.1,30.0,fixed,30.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.925,0.8,0.9375,0.85,0.0,0.0,0.0,1.0,1.0,0.1,30.0,mixed,30.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9625,0.9,0.9625,0.9875,0.0,0.0,0.0,1.0,1.0,0.1,30.0,dnn,36.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9625,0.8625,0.9625,0.9875,0.0,0.0,0.0,1.0,1.0,0.1,30.0,ML,36.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9625,0.9,0.9625,0.975,0.0,0.0,0.0,1.0,1.0,0.1,30.0,fixed,36.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9625,0.9,0.9625,0.4125,0.0,0.0,0.0,1.0,1.0,0.1,30.0,mixed,36.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9625,0.9,0.95,0.975,0.0,0.0,0.0,1.0,1.0,0.1,6.0,dnn,36.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9625,0.8625,0.95,0.95,0.0,0.0,0.0,1.0,1.0,0.1,6.0,ML,36.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9625,0.9,0.95,0.9875,0.0,0.0,0.0,1.0,1.0,0.1,6.0,fixed,36.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9625,0.9125,0.95,0.975,0.0,0.0,0.0,1.0,1.0,0.1,6.0,mixed,36.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9625,0.9,0.9625,1.0,0.0,0.0,0.0,1.0,1.0,0.1,48.0,dnn,48.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9625,0.925,0.9625,0.9875,0.0,0.0,0.0,1.0,1.0,0.1,48.0,ML,48.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9625,0.9125,0.9625,0.975,0.0,0.0,0.0,1.0,1.0,0.1,48.0,fixed,48.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9625,0.925,0.9625,0.9625,0.0,0.0,0.0,1.0,1.0,0.1,48.0,mixed,48.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9,0.75,0.9,0.925,0.0,0.0,0.0,1.0,0.9875,0.1,15.0,dnn,15.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9,0.725,0.9,1.0,0.0,0.0,0.0,1.0,0.9875,0.1,15.0,ML,15.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9,0.725,0.9,0.9375,0.0,0.0,0.0,1.0,0.9875,0.1,15.0,fixed,15.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9,0.65,0.9,1.0,0.0,0.0,0.0,1.0,0.9875,0.1,15.0,mixed,15.0,0.5,1.0,0.5,phon_count,knn,full,fixed
