Traceback (most recent call last):
  File "/home/yannick/Documents/Acoustic_Linguistic_GNN/gnn_model.py", line 256, in <module>
    glist, label_dict = load_graphs(os.path.join(input_folder,graph_file))
  File "/home/yannick/.local/lib/python3.10/site-packages/dgl/data/graph_serialize.py", line 186, in load_graphs
    check_local_file_exists(filename)
  File "/home/yannick/.local/lib/python3.10/site-packages/dgl/data/graph_serialize.py", line 40, in check_local_file_exists
    raise DGLError("File {} does not exist.".format(filename))
dgl._ffi.base.DGLError: File saved_graphs/google_command/clique/filter/kws_graph_24_1_200.dgl does not exist.
1612
8
Epoch 0, Loss: 2.881359577178955, Accuracy: 13.12%
Epoch 10, Loss: 1.3340239524841309, Accuracy: 50.62%
Epoch 20, Loss: 0.5529361963272095, Accuracy: 88.75%
Epoch 30, Loss: 0.17902153730392456, Accuracy: 96.25%
Epoch 40, Loss: 0.051341138780117035, Accuracy: 100.00%
Epoch 50, Loss: 0.015155749395489693, Accuracy: 100.00%
Epoch 60, Loss: 0.006243462208658457, Accuracy: 100.00%
Epoch 70, Loss: 0.0034698466770350933, Accuracy: 100.00%
Epoch 80, Loss: 0.0023488630540668964, Accuracy: 100.00%
Epoch 90, Loss: 0.0017722754273563623, Accuracy: 100.00%
Epoch 100, Loss: 0.0014235409907996655, Accuracy: 100.00%
Epoch 110, Loss: 0.0011812987504526973, Accuracy: 100.00%
Epoch 120, Loss: 0.0010007063392549753, Accuracy: 100.00%
Epoch 130, Loss: 0.0008593224920332432, Accuracy: 100.00%
Epoch 140, Loss: 0.0007470207056030631, Accuracy: 100.00%
Epoch 150, Loss: 0.0006567927193827927, Accuracy: 100.00%
Epoch 160, Loss: 0.0005825748667120934, Accuracy: 100.00%
Epoch 170, Loss: 0.000520639237947762, Accuracy: 100.00%
Epoch 180, Loss: 0.0004683891893364489, Accuracy: 100.00%
Epoch 190, Loss: 0.0004225748707540333, Accuracy: 100.00%
Epoch 0, Loss: 0.34066182374954224, Accuracy: 16.88%
Epoch 10, Loss: 0.27080807089805603, Accuracy: 10.62%
Epoch 20, Loss: 0.2623102068901062, Accuracy: 12.50%
Epoch 30, Loss: 0.2586055099964142, Accuracy: 12.50%
Epoch 40, Loss: 0.2566135823726654, Accuracy: 12.50%
Epoch 50, Loss: 0.25548604130744934, Accuracy: 11.88%
Epoch 60, Loss: 0.25472405552864075, Accuracy: 11.88%
Epoch 70, Loss: 0.25420552492141724, Accuracy: 12.50%
Epoch 80, Loss: 0.2538617253303528, Accuracy: 13.12%
Epoch 90, Loss: 0.25384438037872314, Accuracy: 11.88%
Epoch 100, Loss: 0.2533796429634094, Accuracy: 13.75%
Epoch 110, Loss: 0.25320881605148315, Accuracy: 13.12%
Epoch 120, Loss: 0.2530202567577362, Accuracy: 15.00%
Epoch 130, Loss: 0.2528790235519409, Accuracy: 15.62%
Epoch 140, Loss: 0.2527467608451843, Accuracy: 15.62%
Epoch 150, Loss: 0.25263670086860657, Accuracy: 15.62%
Epoch 160, Loss: 0.25290441513061523, Accuracy: 13.75%
Epoch 170, Loss: 0.25270330905914307, Accuracy: 14.37%
Epoch 180, Loss: 0.2525864839553833, Accuracy: 14.37%
Epoch 190, Loss: 0.2525823414325714, Accuracy: 14.37%
Epoch 0, Loss: 3.2166385650634766, Accuracy: 13.12%
Epoch 10, Loss: 3.2166385650634766, Accuracy: 13.12%
Epoch 20, Loss: 3.2166385650634766, Accuracy: 13.12%
Epoch 30, Loss: 3.2166385650634766, Accuracy: 13.12%
Epoch 40, Loss: 3.2166385650634766, Accuracy: 13.12%
Epoch 50, Loss: 3.2166385650634766, Accuracy: 13.12%
Epoch 60, Loss: 3.2166385650634766, Accuracy: 13.12%
Epoch 70, Loss: 3.2166385650634766, Accuracy: 13.12%
Epoch 80, Loss: 3.2166385650634766, Accuracy: 13.12%
Epoch 90, Loss: 3.2166385650634766, Accuracy: 13.12%
Epoch 100, Loss: 3.2166385650634766, Accuracy: 13.12%
Epoch 110, Loss: 3.2166385650634766, Accuracy: 13.12%
Epoch 120, Loss: 3.2166385650634766, Accuracy: 13.12%
Epoch 130, Loss: 3.2166385650634766, Accuracy: 13.12%
Epoch 140, Loss: 3.2166385650634766, Accuracy: 13.12%
Epoch 150, Loss: 3.2166385650634766, Accuracy: 13.12%
Epoch 160, Loss: 3.2166385650634766, Accuracy: 13.12%
Epoch 170, Loss: 3.2166385650634766, Accuracy: 13.12%
Epoch 180, Loss: 3.2166385650634766, Accuracy: 13.12%
Epoch 190, Loss: 3.2166385650634766, Accuracy: 13.12%
1612
8
Epoch 0, Loss: 4.303473472595215, Accuracy: 5.62%
Epoch 10, Loss: 1.3206510543823242, Accuracy: 51.88%
Epoch 20, Loss: 0.8149046897888184, Accuracy: 75.00%
Epoch 30, Loss: 0.42573627829551697, Accuracy: 90.62%
Epoch 40, Loss: 0.20191052556037903, Accuracy: 98.12%
Epoch 50, Loss: 0.08093637228012085, Accuracy: 100.00%
Epoch 60, Loss: 0.030261356383562088, Accuracy: 100.00%
Epoch 70, Loss: 0.01354110985994339, Accuracy: 100.00%
Epoch 80, Loss: 0.007589599583297968, Accuracy: 100.00%
Epoch 90, Loss: 0.0050234985537827015, Accuracy: 100.00%
Epoch 100, Loss: 0.003728235140442848, Accuracy: 100.00%
Epoch 110, Loss: 0.0029759344179183245, Accuracy: 100.00%
Epoch 120, Loss: 0.0024732614401727915, Accuracy: 100.00%
Epoch 130, Loss: 0.002112241694703698, Accuracy: 100.00%
Epoch 140, Loss: 0.0018355492502450943, Accuracy: 100.00%
Epoch 150, Loss: 0.00161035917699337, Accuracy: 100.00%
Epoch 160, Loss: 0.0014266986399888992, Accuracy: 100.00%
Epoch 170, Loss: 0.0012744630221277475, Accuracy: 100.00%
Epoch 180, Loss: 0.0011467462172731757, Accuracy: 100.00%
Epoch 190, Loss: 0.0010383673943579197, Accuracy: 100.00%
Epoch 0, Loss: 0.36580222845077515, Accuracy: 11.88%
