2025-06-06 13:24:41,754 - INFO - Model saved to models/hetero_gnn_model.pth
Epoch 0, Loss: 4.883995532989502, Accuracy: 5.00%
Epoch 10, Loss: 3.6813178062438965, Accuracy: 13.75%
Epoch 20, Loss: 3.193443775177002, Accuracy: 18.75%
Epoch 30, Loss: 2.270934581756592, Accuracy: 47.50%
Epoch 40, Loss: 2.067493200302124, Accuracy: 58.75%
Epoch 50, Loss: 1.925230860710144, Accuracy: 60.00%
Epoch 60, Loss: 1.8864489793777466, Accuracy: 62.50%
Epoch 70, Loss: 1.8856005668640137, Accuracy: 62.50%
Epoch 80, Loss: 1.8855791091918945, Accuracy: 62.50%
Epoch 90, Loss: 1.8855564594268799, Accuracy: 62.50%
Epoch 100, Loss: 1.8855324983596802, Accuracy: 62.50%
Epoch 110, Loss: 1.8855082988739014, Accuracy: 62.50%
Epoch 120, Loss: 1.8854830265045166, Accuracy: 62.50%
Epoch 130, Loss: 1.8854572772979736, Accuracy: 62.50%
Epoch 140, Loss: 1.885431170463562, Accuracy: 62.50%
2025-06-06 13:26:02,546 - INFO - Model saved to models/hetero_gnn_edge_regressor.pth
Epoch 0, Loss: 1.4600, Regularisation: 1.0177518129348755, MSE: 0.4422
Epoch 10, Loss: 1.1291, Regularisation: 0.630359411239624, MSE: 0.4988
Epoch 20, Loss: 1.0622, Regularisation: 0.5724949240684509, MSE: 0.4897
Epoch 30, Loss: 1.0253, Regularisation: 0.5295254588127136, MSE: 0.4958
Epoch 40, Loss: 0.9937, Regularisation: 0.49839216470718384, MSE: 0.4953
Epoch 50, Loss: 0.9642, Regularisation: 0.4693850874900818, MSE: 0.4948
Epoch 60, Loss: 0.9397, Regularisation: 0.44329726696014404, MSE: 0.4964
Epoch 70, Loss: 0.9190, Regularisation: 0.4226846992969513, MSE: 0.4963
Epoch 80, Loss: 0.9044, Regularisation: 0.40809035301208496, MSE: 0.4963
Epoch 90, Loss: 0.8939, Regularisation: 0.3973750174045563, MSE: 0.4966
Epoch 100, Loss: 0.8850, Regularisation: 0.38862475752830505, MSE: 0.4964
Epoch 110, Loss: 0.8774, Regularisation: 0.3813919425010681, MSE: 0.4960
Epoch 120, Loss: 0.8707, Regularisation: 0.37539175152778625, MSE: 0.4953
Epoch 130, Loss: 0.8648, Regularisation: 0.37035876512527466, MSE: 0.4945
Epoch 140, Loss: 0.8600, Regularisation: 0.36610087752342224, MSE: 0.4939
Epoch 150, Loss: 0.8558, Regularisation: 0.3624473810195923, MSE: 0.4934
Epoch 160, Loss: 0.8519, Regularisation: 0.3592672646045685, MSE: 0.4927
Epoch 170, Loss: 0.8478, Regularisation: 0.35647743940353394, MSE: 0.4913
Epoch 180, Loss: 0.8438, Regularisation: 0.354019433259964, MSE: 0.4898
Epoch 190, Loss: 0.8404, Regularisation: 0.3518449664115906, MSE: 0.4886
