2025-06-05 04:42:47,907 - INFO - Model saved to models/hetero_gnn_model.pth
Epoch 0, Loss: 4.616858959197998, Accuracy: 12.75%
Epoch 10, Loss: 14.030294418334961, Accuracy: 12.58%
Epoch 20, Loss: 20.990549087524414, Accuracy: 11.50%
Epoch 30, Loss: 23.027421951293945, Accuracy: 12.17%
Epoch 40, Loss: 24.533472061157227, Accuracy: 10.83%
Epoch 50, Loss: 23.725656509399414, Accuracy: 10.42%
Epoch 60, Loss: 20.819326400756836, Accuracy: 10.17%
Epoch 70, Loss: 18.948959350585938, Accuracy: 10.92%
Epoch 80, Loss: 18.47191047668457, Accuracy: 10.17%
Epoch 90, Loss: 16.414588928222656, Accuracy: 9.83%
Epoch 100, Loss: 15.270798683166504, Accuracy: 9.25%
Epoch 110, Loss: 15.04531192779541, Accuracy: 9.17%
Epoch 120, Loss: 14.143115997314453, Accuracy: 8.92%
Epoch 130, Loss: 13.627062797546387, Accuracy: 8.50%
Epoch 140, Loss: 12.884973526000977, Accuracy: 8.75%
2025-06-05 04:50:41,300 - INFO - Model saved to models/hetero_gnn_model.pth
Epoch 0, Loss: 3.3785998821258545, Accuracy: 12.25%
Epoch 10, Loss: 14.500850677490234, Accuracy: 11.58%
Epoch 20, Loss: 18.747920989990234, Accuracy: 12.00%
Epoch 30, Loss: 21.526994705200195, Accuracy: 11.67%
Epoch 40, Loss: 18.200634002685547, Accuracy: 10.92%
Epoch 50, Loss: 12.567883491516113, Accuracy: 10.17%
Epoch 60, Loss: 10.52495002746582, Accuracy: 11.25%
Epoch 70, Loss: 10.046772003173828, Accuracy: 11.50%
Epoch 80, Loss: 9.714154243469238, Accuracy: 12.00%
Epoch 90, Loss: 9.809494972229004, Accuracy: 11.67%
Epoch 100, Loss: 9.90507698059082, Accuracy: 11.92%
Epoch 110, Loss: 10.35269546508789, Accuracy: 13.42%
Epoch 120, Loss: 10.695724487304688, Accuracy: 10.50%
Epoch 130, Loss: 10.496176719665527, Accuracy: 10.92%
Epoch 140, Loss: 10.488646507263184, Accuracy: 10.92%
2025-06-05 05:08:00,975 - INFO - Model saved to models/hetero_gnn_model.pth
Epoch 0, Loss: 3.221647024154663, Accuracy: 12.83%
Epoch 10, Loss: 24.652931213378906, Accuracy: 10.92%
Epoch 20, Loss: 20.908485412597656, Accuracy: 13.00%
Epoch 30, Loss: 23.267332077026367, Accuracy: 13.33%
Epoch 40, Loss: 22.920629501342773, Accuracy: 13.42%
Epoch 50, Loss: 20.703893661499023, Accuracy: 13.25%
Epoch 60, Loss: 20.1365909576416, Accuracy: 13.17%
Epoch 70, Loss: 19.28605079650879, Accuracy: 12.67%
Epoch 80, Loss: 18.87157440185547, Accuracy: 12.42%
Epoch 90, Loss: 16.8301944732666, Accuracy: 12.83%
Epoch 100, Loss: 14.90036678314209, Accuracy: 12.83%
Epoch 110, Loss: 15.728198051452637, Accuracy: 12.83%
Epoch 120, Loss: 15.250443458557129, Accuracy: 12.17%
Epoch 130, Loss: 13.926507949829102, Accuracy: 11.83%
Epoch 140, Loss: 12.842087745666504, Accuracy: 11.83%
2025-06-05 05:14:54,940 - INFO - Model saved to models/hetero_gnn_model.pth
Epoch 0, Loss: 3.2137629985809326, Accuracy: 12.75%
Epoch 10, Loss: 8.746487617492676, Accuracy: 13.67%
Epoch 20, Loss: 12.376394271850586, Accuracy: 12.50%
Epoch 30, Loss: 12.574894905090332, Accuracy: 12.50%
Epoch 40, Loss: 12.943613052368164, Accuracy: 12.75%
Epoch 50, Loss: 10.644315719604492, Accuracy: 11.33%
Epoch 60, Loss: 10.242305755615234, Accuracy: 12.00%
Epoch 70, Loss: 9.502845764160156, Accuracy: 12.33%
Epoch 80, Loss: 9.666007995605469, Accuracy: 12.17%
Epoch 90, Loss: 9.37601089477539, Accuracy: 12.83%
Epoch 100, Loss: 8.95978832244873, Accuracy: 12.75%
Epoch 110, Loss: 8.569615364074707, Accuracy: 12.58%
Epoch 120, Loss: 8.033285140991211, Accuracy: 13.25%
Epoch 130, Loss: 7.86531925201416, Accuracy: 13.17%
Epoch 140, Loss: 8.205795288085938, Accuracy: 12.42%
2025-06-05 11:22:33,405 - INFO - Model saved to models/hetero_gnn_model.pth
Epoch 0, Loss: 2.9493346214294434, Accuracy: 13.67%
Epoch 10, Loss: 3.7457191944122314, Accuracy: 16.50%
Epoch 20, Loss: 2.798534631729126, Accuracy: 21.00%
Epoch 30, Loss: 2.7876980304718018, Accuracy: 20.92%
Epoch 40, Loss: 2.7870798110961914, Accuracy: 20.83%
Epoch 50, Loss: 2.786689281463623, Accuracy: 20.83%
Epoch 60, Loss: 2.7862744331359863, Accuracy: 20.83%
Epoch 70, Loss: 2.7858452796936035, Accuracy: 20.83%
Epoch 80, Loss: 2.785405158996582, Accuracy: 20.92%
Epoch 90, Loss: 2.7849576473236084, Accuracy: 20.92%
Epoch 100, Loss: 2.784503221511841, Accuracy: 20.92%
Epoch 110, Loss: 2.784043312072754, Accuracy: 20.92%
Epoch 120, Loss: 2.783578872680664, Accuracy: 20.92%
Epoch 130, Loss: 2.783111333847046, Accuracy: 20.92%
Epoch 140, Loss: 2.782639980316162, Accuracy: 20.92%
2025-06-05 11:27:51,171 - INFO - Model saved to models/hetero_gnn_model.pth
Epoch 0, Loss: 4.398712158203125, Accuracy: 11.00%
Epoch 10, Loss: 3.2995312213897705, Accuracy: 15.75%
Epoch 20, Loss: 3.054064989089966, Accuracy: 20.17%
Epoch 30, Loss: 3.0481796264648438, Accuracy: 20.00%
Epoch 40, Loss: 3.047934055328369, Accuracy: 20.00%
Epoch 50, Loss: 3.0477893352508545, Accuracy: 20.00%
Epoch 60, Loss: 3.0476369857788086, Accuracy: 20.00%
Epoch 70, Loss: 3.0474791526794434, Accuracy: 20.00%
Epoch 80, Loss: 3.047315835952759, Accuracy: 20.00%
Epoch 90, Loss: 3.0471487045288086, Accuracy: 20.00%
Epoch 100, Loss: 3.046977996826172, Accuracy: 20.00%
Epoch 110, Loss: 3.046804189682007, Accuracy: 20.00%
Epoch 120, Loss: 3.0466277599334717, Accuracy: 20.00%
Epoch 130, Loss: 3.0464487075805664, Accuracy: 20.00%
Epoch 140, Loss: 3.0462677478790283, Accuracy: 20.00%
2025-06-05 11:43:51,393 - INFO - Model saved to models/hetero_gnn_model.pth
Epoch 0, Loss: 3.024212121963501, Accuracy: 12.67%
Epoch 10, Loss: 2.4631881713867188, Accuracy: 19.58%
Epoch 20, Loss: 2.2804863452911377, Accuracy: 30.58%
Epoch 30, Loss: 2.1588263511657715, Accuracy: 34.00%
Epoch 40, Loss: 2.1004557609558105, Accuracy: 36.33%
Epoch 50, Loss: 2.085306406021118, Accuracy: 36.08%
Epoch 60, Loss: 2.076261281967163, Accuracy: 36.33%
