2025-06-10 14:15:55,911 - INFO - Model saved to models/hetero_gnn_model.pth
Epoch 0, Loss: 2.83009934425354, Accuracy: 9.50%
Epoch 10, Loss: 2.759788751602173, Accuracy: 29.00%
Epoch 20, Loss: 2.430544376373291, Accuracy: 42.00%
Epoch 30, Loss: 2.3393218517303467, Accuracy: 36.00%
Epoch 40, Loss: 2.255065441131592, Accuracy: 43.50%
Epoch 50, Loss: 2.14924693107605, Accuracy: 46.00%
Epoch 60, Loss: 2.033980369567871, Accuracy: 53.00%
Epoch 70, Loss: 2.0259783267974854, Accuracy: 53.00%
Epoch 80, Loss: 2.025857448577881, Accuracy: 53.00%
Epoch 90, Loss: 2.0258522033691406, Accuracy: 53.00%
Epoch 100, Loss: 2.0258500576019287, Accuracy: 53.00%
Epoch 110, Loss: 2.025847911834717, Accuracy: 53.00%
Epoch 120, Loss: 2.025845766067505, Accuracy: 53.00%
Epoch 130, Loss: 2.025843858718872, Accuracy: 53.00%
Epoch 140, Loss: 2.02584171295166, Accuracy: 53.00%
2025-06-10 14:17:59,993 - INFO - Model saved to models/hetero_gnn_edge_regressor.pth
Epoch 0, Loss: 1.4693, Regularisation: 1.2192054986953735, MSE: 0.2501
Epoch 10, Loss: 1.0204, Regularisation: 0.7709542512893677, MSE: 0.2495
Epoch 20, Loss: 0.7328, Regularisation: 0.48453885316848755, MSE: 0.2483
Epoch 30, Loss: 0.7011, Regularisation: 0.45614612102508545, MSE: 0.2450
Epoch 40, Loss: 0.6653, Regularisation: 0.425653338432312, MSE: 0.2397
Epoch 50, Loss: 0.6462, Regularisation: 0.40971723198890686, MSE: 0.2365
Epoch 60, Loss: 0.6336, Regularisation: 0.4008701741695404, MSE: 0.2327
Epoch 70, Loss: 0.6144, Regularisation: 0.3910822868347168, MSE: 0.2233
Epoch 80, Loss: 0.6009, Regularisation: 0.38325387239456177, MSE: 0.2177
Epoch 90, Loss: 0.5888, Regularisation: 0.3763936161994934, MSE: 0.2124
Epoch 100, Loss: 0.5821, Regularisation: 0.37151169776916504, MSE: 0.2106
Epoch 110, Loss: 0.5875, Regularisation: 0.37022721767425537, MSE: 0.2173
Epoch 120, Loss: 0.5716, Regularisation: 0.36697012186050415, MSE: 0.2047
Epoch 130, Loss: 0.5688, Regularisation: 0.3656516671180725, MSE: 0.2032
Epoch 140, Loss: 0.5675, Regularisation: 0.3650748133659363, MSE: 0.2025
Epoch 150, Loss: 0.5663, Regularisation: 0.36457666754722595, MSE: 0.2017
Epoch 160, Loss: 0.5651, Regularisation: 0.36406540870666504, MSE: 0.2010
Epoch 170, Loss: 0.5639, Regularisation: 0.36360326409339905, MSE: 0.2003
Epoch 180, Loss: 0.5627, Regularisation: 0.3631412982940674, MSE: 0.1996
Epoch 190, Loss: 0.5616, Regularisation: 0.3626887798309326, MSE: 0.1989
